Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä, Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana;
pe 3 tammi 2014 12:00;;23;;32;;;;;;;;19;19;27;;26;;;;41;
pe 3 tammi 2014 13:00;;32;;25;;;;;;;;22;20;34;;22;;;;44;
pe 3 tammi 2014 14:00;;41;;31;;;;;;;;12;20;33;;32;;;;55;
pe 3 tammi 2014 15:00;;36;;41;;;;;;;;38;36;58;;38;;;;85;
pe 3 tammi 2014 16:00;;56;;59;;;;;;;;43;48;19;;42;;;;108;
pe 3 tammi 2014 17:00;;57;;46;;;;;;;;51;30;9;;43;;;;90;
pe 3 tammi 2014 18:00;;35;;31;;;;;;;;18;19;9;;37;;;;52;
pe 3 tammi 2014 19:00;;17;;25;;;;;;;;19;15;4;;26;;;;34;
pe 3 tammi 2014 20:00;;19;;11;;;;;;;;11;9;4;;10;;;;27;
pe 3 tammi 2014 21:00;;9;;9;;;;;;;;11;8;6;;12;;;;19;
pe 3 tammi 2014 22:00;;6;;7;;;;;;;;5;4;1;;7;;;;10;
pe 3 tammi 2014 23:00;;6;;4;;;;;;;;5;0;0;;6;;;;13;
la 4 tammi 2014 00:00;;5;;3;;;;;;;;0;0;2;;3;;;;3;
la 4 tammi 2014 01:00;;2;;4;;;;;;;;0;1;1;;6;;;;4;
la 4 tammi 2014 02:00;;4;;2;;;;;;;;1;0;1;;4;;;;3;
la 4 tammi 2014 03:00;;0;;2;;;;;;;;0;1;0;;4;;;;2;
la 4 tammi 2014 04:00;;1;;2;;;;;;;;1;0;0;;2;;;;2;
la 4 tammi 2014 05:00;;2;;2;;;;;;;;0;1;0;;1;;;;2;
la 4 tammi 2014 06:00;;1;;1;;;;;;;;2;4;0;;1;;;;5;
la 4 tammi 2014 07:00;;3;;6;;;;;;;;1;11;1;;0;;;;7;
la 4 tammi 2014 08:00;;4;;9;;;;;;;;4;3;0;;7;;;;10;
la 4 tammi 2014 09:00;;10;;18;;;;;;;;4;5;16;;9;;;;12;
la 4 tammi 2014 10:00;;12;;18;;;;;;;;11;14;11;;18;;;;19;
la 4 tammi 2014 11:00;;26;;21;;;;;;;;13;15;24;;16;;;;40;
la 4 tammi 2014 12:00;;24;;21;;;;;;;;13;22;27;;29;;;;44;
la 4 tammi 2014 13:00;;31;;23;;;;;;;;33;14;43;;24;;;;44;
la 4 tammi 2014 14:00;;24;;21;;;;;;;;27;17;31;;23;;;;50;
la 4 tammi 2014 15:00;;27;;28;;;;;;;;11;10;13;;34;;;;44;
la 4 tammi 2014 16:00;;26;;16;;;;;;;;16;13;9;;29;;;;44;
la 4 tammi 2014 17:00;;22;;24;;;;;;;;16;8;3;;23;;;;34;
la 4 tammi 2014 18:00;;6;;14;;;;;;;;9;7;3;;9;;;;14;
la 4 tammi 2014 19:00;;5;;8;;;;;;;;3;4;1;;6;;;;10;
la 4 tammi 2014 20:00;;9;;5;;;;;;;;4;5;1;;6;;;;8;
la 4 tammi 2014 21:00;;7;;3;;;;;;;;2;3;3;;9;;;;11;
la 4 tammi 2014 22:00;;2;;6;;;;;;;;1;2;0;;7;;;;7;
la 4 tammi 2014 23:00;;6;;1;;;;;;;;2;0;0;;10;;;;3;
su 5 tammi 2014 00:00;;6;;2;;;;;;;;2;0;0;;7;;;;4;
su 5 tammi 2014 01:00;;3;;0;;;;;;;;0;0;0;;6;;;;2;
su 5 tammi 2014 02:00;;2;;2;;;;;;;;1;0;0;;4;;;;0;
su 5 tammi 2014 03:00;;2;;2;;;;;;;;0;2;0;;5;;;;2;
su 5 tammi 2014 04:00;;1;;4;;;;;;;;0;0;1;;5;;;;4;
su 5 tammi 2014 05:00;;1;;3;;;;;;;;0;2;0;;1;;;;0;
su 5 tammi 2014 06:00;;0;;0;;;;;;;;3;4;0;;0;;;;7;
su 5 tammi 2014 07:00;;1;;11;;;;;;;;3;6;0;;0;;;;2;
su 5 tammi 2014 08:00;;0;;3;;;;;;;;4;4;0;;2;;;;6;
su 5 tammi 2014 09:00;;7;;4;;;;;;;;2;12;7;;3;;;;16;
su 5 tammi 2014 10:00;;7;;13;;;;;;;;16;10;14;;10;;;;17;
su 5 tammi 2014 11:00;;20;;20;;;;;;;;12;31;20;;17;;;;33;
su 5 tammi 2014 12:00;;20;;24;;;;;;;;23;25;25;;18;;;;37;
su 5 tammi 2014 13:00;;18;;20;;;;;;;;20;31;43;;21;;;;55;
su 5 tammi 2014 14:00;;12;;20;;;;;;;;26;21;42;;27;;;;54;
su 5 tammi 2014 15:00;;19;;18;;;;;;;;27;23;17;;27;;;;54;
su 5 tammi 2014 16:00;;17;;12;;;;;;;;26;21;3;;30;;;;35;
su 5 tammi 2014 17:00;;27;;24;;;;;;;;12;13;3;;17;;;;38;
su 5 tammi 2014 18:00;;23;;23;;;;;;;;14;21;4;;19;;;;40;
su 5 tammi 2014 19:00;;16;;16;;;;;;;;20;11;2;;16;;;;25;
su 5 tammi 2014 20:00;;13;;9;;;;;;;;6;6;1;;12;;;;24;
su 5 tammi 2014 21:00;;4;;8;;;;;;;;8;4;1;;6;;;;21;
su 5 tammi 2014 22:00;;5;;2;;;;;;;;5;2;0;;6;;;;10;
su 5 tammi 2014 23:00;;6;;3;;;;;;;;5;1;0;;3;;;;11;
ma 6 tammi 2014 00:00;;4;;0;;;;;;;;2;1;0;;4;;;;7;
ma 6 tammi 2014 01:00;;0;;1;;;;;;;;0;2;0;;3;;;;2;
ma 6 tammi 2014 02:00;;0;;0;;;;;;;;1;0;0;;4;;;;2;
ma 6 tammi 2014 03:00;;0;;0;;;;;;;;0;1;1;;0;;;;1;
ma 6 tammi 2014 04:00;;0;;1;;;;;;;;0;0;0;;3;;;;3;
ma 6 tammi 2014 05:00;;1;;0;;;;;;;;1;2;1;;3;;;;2;
ma 6 tammi 2014 06:00;;0;;1;;;;;;;;0;1;0;;2;;;;5;
ma 6 tammi 2014 07:00;;2;;3;;;;;;;;7;6;0;;3;;;;10;
ma 6 tammi 2014 08:00;;4;;3;;;;;;;;4;4;0;;3;;;;6;
ma 6 tammi 2014 09:00;;5;;8;;;;;;;;3;6;7;;6;;;;12;
ma 6 tammi 2014 10:00;;12;;9;;;;;;;;13;10;15;;3;;;;20;
ma 6 tammi 2014 11:00;;15;;16;;;;;;;;20;16;25;;16;;;;35;
ma 6 tammi 2014 12:00;;26;;30;;;;;;;;21;13;26;;18;;;;53;
ma 6 tammi 2014 13:00;;22;;23;;;;;;;;26;25;44;;40;;;;57;
ma 6 tammi 2014 14:00;;27;;30;;;;;;;;26;20;48;;24;;;;58;
ma 6 tammi 2014 15:00;;20;;29;;;;;;;;25;15;27;;38;;;;59;
ma 6 tammi 2014 16:00;;27;;12;;;;;;;;24;17;8;;33;;;;46;
ma 6 tammi 2014 17:00;;27;;20;;;;;;;;22;9;4;;28;;;;48;
ma 6 tammi 2014 18:00;;28;;22;;;;;;;;12;8;5;;26;;;;34;
ma 6 tammi 2014 19:00;;21;;27;;;;;;;;13;6;2;;16;;;;35;
ma 6 tammi 2014 20:00;;14;;22;;;;;;;;14;8;5;;18;;;;29;
ma 6 tammi 2014 21:00;;10;;6;;;;;;;;4;7;4;;6;;;;17;
ma 6 tammi 2014 22:00;;5;;9;;;;;;;;4;3;2;;11;;;;3;
ma 6 tammi 2014 23:00;;1;;2;;;;;;;;1;0;1;;4;;;;1;
ti 7 tammi 2014 00:00;;2;;0;;;;;;;;0;0;0;;2;;;;3;
ti 7 tammi 2014 01:00;;0;;0;;;;;;;;0;0;0;;6;;;;3;
ti 7 tammi 2014 02:00;;0;;0;;;;;;;;1;0;0;;0;;;;1;
ti 7 tammi 2014 03:00;;0;;0;;;;;;;;1;0;0;;2;;;;0;
ti 7 tammi 2014 04:00;;1;;0;;;;;;;;0;0;1;;1;;;;2;
ti 7 tammi 2014 05:00;;4;;2;;;;;;;;4;2;0;;5;;;;8;
ti 7 tammi 2014 06:00;;9;;15;;;;;;;;18;17;8;;7;;;;42;
ti 7 tammi 2014 07:00;;29;;40;;;;;;;;71;51;9;;11;;;;87;
ti 7 tammi 2014 08:00;;73;;89;;;;;;;;72;67;16;;20;;;;127;
ti 7 tammi 2014 09:00;;51;;49;;;;;;;;20;23;29;;24;;;;83;
ti 7 tammi 2014 10:00;;26;;15;;;;;;;;17;12;24;;26;;;;29;
ti 7 tammi 2014 11:00;;31;;21;;;;;;;;9;11;19;;16;;;;27;
ti 7 tammi 2014 12:00;;20;;15;;;;;;;;12;9;12;;28;;;;32;
ti 7 tammi 2014 13:00;;17;;20;;;;;;;;10;8;18;;27;;;;22;
ti 7 tammi 2014 14:00;;23;;21;;;;;;;;9;12;29;;24;;;;34;
ti 7 tammi 2014 15:00;;48;;36;;;;;;;;33;38;33;;18;;;;80;
ti 7 tammi 2014 16:00;;58;;70;;;;;;;;53;42;19;;31;;;;99;
ti 7 tammi 2014 17:00;;55;;58;;;;;;;;50;48;21;;32;;;;111;
ti 7 tammi 2014 18:00;;33;;35;;;;;;;;36;19;3;;24;;;;56;
ti 7 tammi 2014 19:00;;14;;27;;;;;;;;24;6;6;;13;;;;44;
ti 7 tammi 2014 20:00;;11;;18;;;;;;;;11;9;4;;18;;;;29;
ti 7 tammi 2014 21:00;;9;;2;;;;;;;;14;12;1;;4;;;;12;
ti 7 tammi 2014 22:00;;7;;3;;;;;;;;4;3;2;;7;;;;12;
ti 7 tammi 2014 23:00;;1;;1;;;;;;;;0;1;0;;3;;;;1;
ke 8 tammi 2014 00:00;;2;;2;;;;;;;;1;0;0;;2;;;;1;
ke 8 tammi 2014 01:00;;1;;0;;;;;;;;0;0;0;;1;;;;2;
ke 8 tammi 2014 02:00;;0;;0;;;;;;;;0;1;0;;1;;;;1;
ke 8 tammi 2014 03:00;;0;;0;;;;;;;;0;0;0;;2;;;;0;
ke 8 tammi 2014 04:00;;1;;0;;;;;;;;0;2;0;;0;;;;2;
ke 8 tammi 2014 05:00;;2;;0;;;;;;;;1;1;0;;2;;;;7;
ke 8 tammi 2014 06:00;;10;;14;;;;;;;;16;22;4;;10;;;;38;
ke 8 tammi 2014 07:00;;38;;56;;;;;;;;65;64;9;;12;;;;96;
ke 8 tammi 2014 08:00;;78;;84;;;;;;;;59;76;15;;16;;;;130;
ke 8 tammi 2014 09:00;;57;;59;;;;;;;;32;30;27;;38;;;;81;
ke 8 tammi 2014 10:00;;19;;21;;;;;;;;12;16;20;;15;;;;21;
ke 8 tammi 2014 11:00;;22;;13;;;;;;;;16;14;17;;26;;;;25;
ke 8 tammi 2014 12:00;;25;;19;;;;;;;;16;16;13;;22;;;;30;
ke 8 tammi 2014 13:00;;24;;20;;;;;;;;13;11;18;;25;;;;25;
ke 8 tammi 2014 14:00;;30;;51;;;;;;;;21;18;35;;28;;;;32;
ke 8 tammi 2014 15:00;;59;;56;;;;;;;;41;36;43;;38;;;;79;
ke 8 tammi 2014 16:00;;73;;80;;;;;;;;68;60;19;;30;;;;120;
ke 8 tammi 2014 17:00;;79;;70;;;;;;;;70;56;14;;39;;;;126;
ke 8 tammi 2014 18:00;;40;;45;;;;;;;;41;23;13;;37;;;;92;
ke 8 tammi 2014 19:00;;42;;25;;;;;;;;30;13;11;;25;;;;75;
ke 8 tammi 2014 20:00;;26;;19;;;;;;;;26;15;9;;21;;;;44;
ke 8 tammi 2014 21:00;;15;;6;;;;;;;;15;10;5;;12;;;;28;
ke 8 tammi 2014 22:00;;6;;10;;;;;;;;4;5;3;;13;;;;13;
ke 8 tammi 2014 23:00;;6;;2;;;;;;;;0;2;2;;10;;;;2;
to 9 tammi 2014 00:00;;2;;1;;;;;;;;3;0;2;;5;;;;3;
to 9 tammi 2014 01:00;;0;;3;;;;;;;;0;0;0;;3;;;;3;
to 9 tammi 2014 02:00;;0;;0;;;;;;;;1;1;1;;1;;;;1;
to 9 tammi 2014 03:00;;1;;0;;;;;;;;0;0;0;;2;;;;0;
to 9 tammi 2014 04:00;;1;;0;;;;;;;;1;1;0;;2;;;;2;
to 9 tammi 2014 05:00;;3;;1;;;;;;;;0;2;2;;4;;;;6;
to 9 tammi 2014 06:00;;13;;20;;;;;;;;17;23;4;;5;;;;39;
to 9 tammi 2014 07:00;;46;;77;;;;;;;;84;67;9;;14;;;;95;
to 9 tammi 2014 08:00;;82;;88;;;;;;;;76;60;14;;28;;;;150;
to 9 tammi 2014 09:00;;66;;89;;;;;;;;18;30;61;;36;;;;94;
to 9 tammi 2014 10:00;;40;;33;;;;;;;;19;18;39;;25;;;;42;
to 9 tammi 2014 11:00;;34;;38;;;;;;;;14;11;28;;30;;;;36;
to 9 tammi 2014 12:00;;43;;26;;;;;;;;19;19;36;;26;;;;51;
to 9 tammi 2014 13:00;;38;;26;;;;;;;;17;21;27;;37;;;;36;
to 9 tammi 2014 14:00;;47;;32;;;;;;;;16;25;27;;33;;;;53;
to 9 tammi 2014 15:00;;49;;64;;;;;;;;49;64;47;;33;;;;85;
to 9 tammi 2014 16:00;;77;;83;;;;;;;;73;62;25;;47;;;;114;
to 9 tammi 2014 17:00;;83;;81;;;;;;;;64;52;26;;41;;;;136;
to 9 tammi 2014 18:00;;54;;58;;;;;;;;39;37;20;;35;;;;85;
to 9 tammi 2014 19:00;;31;;38;;;;;;;;22;21;10;;33;;;;63;
to 9 tammi 2014 20:00;;16;;27;;;;;;;;13;16;6;;30;;;;37;
to 9 tammi 2014 21:00;;13;;9;;;;;;;;24;12;7;;14;;;;29;
to 9 tammi 2014 22:00;;6;;3;;;;;;;;8;8;1;;6;;;;13;
to 9 tammi 2014 23:00;;3;;0;;;;;;;;2;4;3;;6;;;;8;
pe 10 tammi 2014 00:00;;4;;0;;;;;;;;3;0;0;;4;;;;3;
pe 10 tammi 2014 01:00;;1;;1;;;;;;;;0;0;1;;0;;;;1;
pe 10 tammi 2014 02:00;;1;;1;;;;;;;;0;1;0;;0;;;;0;
pe 10 tammi 2014 03:00;;0;;0;;;;;;;;0;0;0;;1;;;;0;
pe 10 tammi 2014 04:00;;1;;0;;;;;;;;0;0;0;;1;;;;1;
pe 10 tammi 2014 05:00;;1;;1;;;;;;;;0;0;1;;3;;;;8;
pe 10 tammi 2014 06:00;;8;;14;;;;;;;;14;13;2;;2;;;;26;
pe 10 tammi 2014 07:00;;32;;33;;;;;;;;38;43;11;;7;;;;53;
pe 10 tammi 2014 08:00;;35;;45;;;;;;;;44;31;10;;13;;;;77;
pe 10 tammi 2014 09:00;;38;;29;;;;;;;;17;16;28;;11;;;;45;
pe 10 tammi 2014 10:00;;30;;11;;;;;;;;8;14;18;;14;;;;18;
pe 10 tammi 2014 11:00;;24;;13;;;;;;;;11;7;17;;17;;;;20;
pe 10 tammi 2014 12:00;;26;;10;;;;;;;;6;14;15;;12;;;;25;
pe 10 tammi 2014 13:00;;27;;10;;;;;;;;10;11;19;;29;;;;23;
pe 10 tammi 2014 14:00;;17;;20;;;;;;;;12;16;25;;26;;;;31;
pe 10 tammi 2014 15:00;;37;;37;;;;;;;;23;36;30;;22;;;;48;
pe 10 tammi 2014 16:00;;47;;44;;;;;;;;34;28;11;;34;;;;70;
pe 10 tammi 2014 17:00;;42;;40;;;;;;;;32;26;10;;25;;;;59;
pe 10 tammi 2014 18:00;;23;;28;;;;;;;;10;14;1;;29;;;;47;
pe 10 tammi 2014 19:00;;16;;23;;;;;;;;6;6;4;;15;;;;30;
pe 10 tammi 2014 20:00;;10;;13;;;;;;;;9;12;2;;16;;;;12;
pe 10 tammi 2014 21:00;;6;;10;;;;;;;;8;7;2;;12;;;;9;
pe 10 tammi 2014 22:00;;7;;4;;;;;;;;2;6;1;;5;;;;10;
pe 10 tammi 2014 23:00;;4;;3;;;;;;;;1;1;0;;8;;;;2;
la 11 tammi 2014 00:00;;4;;2;;;;;;;;2;2;1;;8;;;;2;
la 11 tammi 2014 01:00;;1;;1;;;;;;;;0;0;2;;3;;;;3;
la 11 tammi 2014 02:00;;0;;0;;;;;;;;0;2;0;;4;;;;3;
la 11 tammi 2014 03:00;;0;;0;;;;;;;;1;1;1;;1;;;;0;
la 11 tammi 2014 04:00;;0;;0;;;;;;;;1;2;0;;2;;;;1;
la 11 tammi 2014 05:00;;0;;2;;;;;;;;0;0;0;;2;;;;0;
la 11 tammi 2014 06:00;;3;;3;;;;;;;;0;4;0;;0;;;;2;
la 11 tammi 2014 07:00;;2;;3;;;;;;;;6;5;0;;4;;;;2;
la 11 tammi 2014 08:00;;3;;4;;;;;;;;8;7;0;;7;;;;8;
la 11 tammi 2014 09:00;;7;;7;;;;;;;;6;4;14;;11;;;;13;
la 11 tammi 2014 10:00;;8;;10;;;;;;;;13;7;11;;18;;;;18;
la 11 tammi 2014 11:00;;19;;14;;;;;;;;16;16;8;;17;;;;18;
la 11 tammi 2014 12:00;;22;;18;;;;;;;;8;23;27;;21;;;;26;
la 11 tammi 2014 13:00;;27;;11;;;;;;;;14;17;17;;35;;;;32;
la 11 tammi 2014 14:00;;20;;16;;;;;;;;12;14;32;;27;;;;33;
la 11 tammi 2014 15:00;;19;;21;;;;;;;;9;6;21;;37;;;;23;
la 11 tammi 2014 16:00;;11;;16;;;;;;;;16;4;4;;22;;;;19;
la 11 tammi 2014 17:00;;15;;7;;;;;;;;4;11;3;;24;;;;16;
la 11 tammi 2014 18:00;;11;;9;;;;;;;;9;6;2;;17;;;;9;
la 11 tammi 2014 19:00;;0;;6;;;;;;;;4;2;4;;8;;;;10;
la 11 tammi 2014 20:00;;5;;7;;;;;;;;1;4;2;;6;;;;5;
la 11 tammi 2014 21:00;;3;;4;;;;;;;;4;3;1;;8;;;;8;
la 11 tammi 2014 22:00;;4;;6;;;;;;;;1;3;1;;3;;;;3;
la 11 tammi 2014 23:00;;6;;3;;;;;;;;0;5;2;;4;;;;5;
su 12 tammi 2014 00:00;;3;;1;;;;;;;;0;0;0;;2;;;;3;
su 12 tammi 2014 01:00;;3;;0;;;;;;;;1;0;0;;4;;;;1;
su 12 tammi 2014 02:00;;3;;0;;;;;;;;0;0;0;;5;;;;1;
su 12 tammi 2014 03:00;;1;;2;;;;;;;;0;1;0;;3;;;;0;
su 12 tammi 2014 04:00;;1;;0;;;;;;;;0;0;0;;2;;;;1;
su 12 tammi 2014 05:00;;1;;0;;;;;;;;0;0;0;;0;;;;0;
su 12 tammi 2014 06:00;;0;;1;;;;;;;;2;1;0;;1;;;;2;
su 12 tammi 2014 07:00;;6;;1;;;;;;;;1;3;2;;1;;;;6;
su 12 tammi 2014 08:00;;1;;8;;;;;;;;2;4;0;;2;;;;6;
su 12 tammi 2014 09:00;;3;;2;;;;;;;;3;2;3;;7;;;;5;
su 12 tammi 2014 10:00;;7;;6;;;;;;;;4;9;11;;5;;;;6;
su 12 tammi 2014 11:00;;5;;6;;;;;;;;4;9;6;;6;;;;9;
su 12 tammi 2014 12:00;;10;;8;;;;;;;;10;10;8;;12;;;;16;
su 12 tammi 2014 13:00;;6;;8;;;;;;;;7;13;11;;14;;;;17;
su 12 tammi 2014 14:00;;3;;7;;;;;;;;9;13;13;;11;;;;17;
su 12 tammi 2014 15:00;;11;;6;;;;;;;;10;11;13;;15;;;;17;
su 12 tammi 2014 16:00;;11;;7;;;;;;;;10;10;3;;10;;;;16;
su 12 tammi 2014 17:00;;8;;10;;;;;;;;9;5;6;;9;;;;12;
su 12 tammi 2014 18:00;;6;;3;;;;;;;;7;7;2;;10;;;;11;
su 12 tammi 2014 19:00;;3;;6;;;;;;;;2;5;2;;2;;;;7;
su 12 tammi 2014 20:00;;3;;2;;;;;;;;8;6;3;;6;;;;6;
su 12 tammi 2014 21:00;;2;;5;;;;;;;;1;3;0;;2;;;;8;
su 12 tammi 2014 22:00;;4;;0;;;;;;;;4;2;0;;4;;;;3;
su 12 tammi 2014 23:00;;1;;0;;;;;;;;1;1;1;;0;;;;0;
ma 13 tammi 2014 00:00;;1;;1;;;;;;;;1;0;0;;2;;;;0;
ma 13 tammi 2014 01:00;;0;;0;;;;;;;;0;0;0;;1;;;;0;
ma 13 tammi 2014 02:00;;1;;1;;;;;;;;0;1;0;;0;;;;1;
ma 13 tammi 2014 03:00;;0;;0;;;;;;;;0;1;0;;1;;;;0;
ma 13 tammi 2014 04:00;;0;;0;;;;;;;;0;1;0;;2;;;;2;
ma 13 tammi 2014 05:00;;1;;0;;;;;;;;0;4;3;;3;;;;10;
ma 13 tammi 2014 06:00;;3;;14;;;;;;;;10;14;4;;4;;;;31;
ma 13 tammi 2014 07:00;;22;;40;;;;;;;;50;34;10;;8;;;;66;
ma 13 tammi 2014 08:00;;40;;65;;;;;;;;52;55;17;;10;;;;91;
ma 13 tammi 2014 09:00;;19;;36;;;;;;;;24;22;35;;15;;;;59;
ma 13 tammi 2014 10:00;;18;;22;;;;;;;;6;11;10;;15;;;;14;
ma 13 tammi 2014 11:00;;18;;10;;;;;;;;10;8;16;;13;;;;15;
ma 13 tammi 2014 12:00;;10;;15;;;;;;;;13;11;8;;11;;;;10;
ma 13 tammi 2014 13:00;;12;;12;;;;;;;;9;14;7;;12;;;;19;
ma 13 tammi 2014 14:00;;11;;14;;;;;;;;9;18;17;;13;;;;30;
ma 13 tammi 2014 15:00;;22;;17;;;;;;;;21;30;34;;21;;;;47;
ma 13 tammi 2014 16:00;;42;;55;;;;;;;;49;44;12;;27;;;;87;
ma 13 tammi 2014 17:00;;30;;51;;;;;;;;48;43;7;;22;;;;82;
ma 13 tammi 2014 18:00;;27;;26;;;;;;;;39;19;5;;13;;;;41;
ma 13 tammi 2014 19:00;;15;;11;;;;;;;;20;9;3;;12;;;;20;
ma 13 tammi 2014 20:00;;7;;18;;;;;;;;16;6;4;;3;;;;13;
