"Region 2018"	"Population"	"Population change from the previous year, %"	"Share of Swedish-speakers of the population, %"	"Share of foreign citizens of the population, %"	"Proportion of the unemployed among the labour force, %"	"Proportion of pensioners of the population, %"
"Kalajoki"	12516	-0.6	0.4	2.1	10.9	28.0
"Kangasala"	31437	0.8	0.2	1.3	12.6	22.8
"Kangasniemi"	5549	-1.0	0.1	1.0	15.5	41.1
"Kankaanpää"	11585	-0.4	0.1	2.7	13.7	30.6
"Kannonkoski"	1408	-1.1	0.1	1.3	20.9	39.7
"Kannus"	5520	-1.0	0.5	1.6	12.4	26.9
"Karijoki"	1329	-1.5	1.7	1.0	11.4	36.7
"Karkkila"	8900	-0.1	0.9	5.1	11.9	28.9
"Karstula"	4146	-2.0	0.0	0.9	19.0	36.9
"Karvia"	2403	-1.9	0.1	2.5	14.5	37.2
"Kaskinen"	1274	-1.7	29.9	5.3	14.7	41.4
"Kauhajoki"	13610	-1.2	0.3	1.9	12.9	30.6
"Kauhava"	16278	-1.9	0.7	2.3	8.9	32.0
"Kauniainen"	9624	2.4	33.8	4.9	7.2	22.8
"Kaustinen"	4309	0.3	2.1	1.7	8.2	24.8
"Keitele"	2309	-1.6	0.1	1.6	10.9	40.1
"Kemi"	21256	-1.6	0.1	3.6	19.5	32.4
"Kemijärvi"	7534	-1.7	0.0	0.8	20.1	43.3
"Keminmaa"	8296	-0.2	0.1	0.8	14.4	27.8
"Kemiönsaari"	6793	-1.1	68.5	4.2	10.6	36.9
"Kempele"	17535	1.4	0.2	0.8	12.6	18.3
"Kerava"	35554	0.1	1.3	7.4	11.6	22.1
"Keuruu"	9919	-0.7	0.1	1.6	15.3	37.1
"Kihniö"	1967	-1.4	0.0	1.3	15.6	35.3
"Kinnula"	1656	-2.5	0.1	1.1	18.8	36.2
"Kirkkonummi"	39170	0.4	16.6	5.5	10.0	17.8
"Kitee"	10486	-2.2	0.0	2.8	19.3	38.2
"Kittilä"	6421	0.6	0.3	2.7	10.9	25.1
"Kiuruvesi"	8283	-1.9	0.0	0.8	15.5	35.2
"Kivijärvi"	1132	-2.5	0.0	1.2	21.0	43.5
"Kokemäki"	7381	-1.6	0.1	2.4	14.7	34.2
"Kokkola"	47723	0.0	12.6	2.4	11.8	24.9
"Kolari"	3854	0.7	0.8	1.6	13.8	30.7
"Konnevesi"	2748	-0.2	0.0	0.7	18.1	37.1
"Kontiolahti"	14830	0.2	0.1	1.4	12.5	19.1
"Korsnäs"	2154	-0.8	85.8	9.1	9.3	30.2
"Koski Tl"	2359	-2.4	0.3	4.1	10.6	35.1
"Kotka"	53539	-1.2	1.0	6.1	21.7	30.4
"Kouvola"	84196	-1.3	0.4	2.7	16.5	31.7
"Kristiinankaupunki"	6638	-1.3	54.6	4.5	8.3	38.4
"Kruunupyy"	6531	-1.3	78.4	3.0	6.0	27.2
"Kuhmo"	8499	-1.7	0.1	1.1	19.6	40.4
"Kuhmoinen"	2252	-1.5	0.2	1.0	17.9	48.1
"Kumlinge"	314	1.9	85.4	8.0	4.0	35.7
"Kuopio"	118209	0.4	0.1	2.5	13.7	25.1
"Kuortane"	3637	-1.4	0.1	1.4	9.7	35.3
"Kurikka"	21203	-1.4	0.4	1.5	12.3	33.1
"Kustavi"	923	1.7	1.4	2.9	12.2	43.9
"Kuusamo"	15386	-0.9	0.2	1.3	13.9	32.0
"Kyyjärvi"	1352	-1.7	0.1	1.2	17.4	35.8
"Kärkölä"	4508	-0.7	0.5	2.5	12.5	30.0
"Kärsämäki"	2611	-1.7	0.1	0.7	12.0	33.0
"Kökar"	236	-4.1	87.7	8.1	6.0	34.1
"Lahti"	119573	0.1	0.4	4.3	17.7	27.3
"Laihia"	8051	-1.1	1.1	0.8	10.1	25.2
"Laitila"	8610	1.1	0.4	5.0	9.3	28.5
"Lapinjärvi"	2706	-1.2	31.2	5.1	11.3	32.7
"Lapinlahti"	9692	-1.9	0.1	1.2	14.8	32.1
"Lappajärvi"	3140	-1.1	0.5	3.7	11.9	38.3
"Lappeenranta"	72909	0.1	0.2	4.5	16.5	26.8
"Lapua"	14494	-0.6	0.1	1.9	11.1	27.5
"Laukaa"	18978	0.0	0.1	1.0	13.7	22.9
"Lemi"	3063	-0.4	0.1	1.0	13.2	28.8
"Lemland"	2028	0.8	92.1	8.0	2.2	18.2
"Lempäälä"	22829	0.4	0.3	1.3	12.0	18.4
"Leppävirta"	9782	-0.8	0.1	1.0	13.7	34.7
"Lestijärvi"	789	-2.7	0.1	2.0	12.7	34.9
"Lieksa"	11297	-2.4	0.1	2.2	21.2	41.7
"Lieto"	19596	0.9	1.4	1.5	8.3	21.4
"Liminka"	10133	1.3	0.1	0.3	10.2	12.4
"Liperi"	12150	-1.2	0.1	0.9	14.0	25.6
"Lohja"	46785	-0.8	3.5	3.1	12.6	26.0
"Loimaa"	16150	-0.7	0.2	2.5	11.6	33.7
"Loppi"	8028	-0.9	0.4	1.8	8.1	27.6
"Loviisa"	15085	-0.8	40.8	3.2	12.5	31.8
"Luhanka"	734	-2.9	0.0	0.4	12.1	45.2
"Lumijoki"	2081	-1.1	0.1	0.8	11.9	20.9
"Lumparland"	395	2.6	86.6	9.9	2.1	26.8
"Luoto"	5264	1.7	91.8	2.6	4.3	16.3
"Luumäki"	4747	-1.7	0.4	2.0	13.6	37.1
"Maalahti"	5477	-0.7	85.5	4.7	10.1	30.4
"Mariehamn"	11677	1.0	84.2	13.0	4.5	24.2
"Marttila"	1988	-1.6	1.1	1.8	9.7	31.1
"Masku"	9656	-0.2	1.1	1.0	8.1	20.5
"Merijärvi"	1119	-1.1	0.0	0.7	10.5	27.6
"Merikarvia"	3156	-0.4	0.4	0.9	17.4	39.4
"Miehikkälä"	1992	-2.1	0.3	3.0	12.5	42.7
"Mikkeli"	54261	-0.5	0.1	2.4	14.0	29.2
"Muhos"	9019	0.3	0.1	1.1	13.9	21.8
"Multia"	1636	-1.6	0.1	1.0	14.7	38.9
"Muonio"	2332	-0.8	0.6	3.3	10.2	29.3
"Mustasaari"	19384	0.0	68.9	1.9	7.7	23.2
"Muurame"	10097	1.6	0.1	0.9	11.3	19.7
"Mynämäki"	7838	-0.1	0.8	1.5	10.5	29.4
"Myrskylä"	1969	-0.9	9.2	2.6	13.7	30.8
"Mäntsälä"	20803	-0.2	0.9	2.3	8.6	21.2
"Mänttä-Vilppula"	10256	-1.8	0.2	2.4	14.8	37.9
"Mäntyharju"	6054	-0.7	0.2	1.5	16.8	39.7
"Naantali"	19167	0.5	1.4	1.6	10.3	28.0
"Nakkila"	5521	-0.5	0.5	0.9	15.1	31.0
"Nivala"	10815	-0.7	0.1	0.6	13.0	25.9
"Nokia"	33322	0.3	0.3	1.5	14.4	23.3
"Nousiainen"	4813	0.0	0.7	1.0	9.3	21.7
"Nurmes"	7765	-1.5	0.1	1.0	18.9	39.1
"Nurmijärvi"	42159	0.4	1.2	3.1	7.5	18.3
"Närpiö"	9507	0.7	80.4	12.7	5.4	31.3
"Orimattila"	16221	-0.4	0.6	1.9	13.4	28.0
"Oripää"	1382	1.4	0.1	5.0	9.5	29.4
"Orivesi"	9285	-0.3	0.2	1.2	14.7	32.5
"Oulainen"	7472	-0.6	0.2	0.7	13.3	30.0
"Oulu"	201810	0.6	0.2	2.9	16.6	19.2
"Outokumpu"	7003	-1.2	0.1	2.9	19.6	35.3
"Padasjoki"	3027	-1.5	0.4	1.0	13.6	43.1
"Paimio"	10730	0.2	1.0	1.8	10.1	24.5
"Paltamo"	3435	-1.6	0.0	1.2	17.6	38.7
"Parainen"	15285	-0.7	55.4	2.5	8.6	30.0
"Parikkala"	4969	-3.1	0.2	1.0	16.2	43.4
"Parkano"	6562	-1.9	0.1	1.7	14.5	35.5
"Pedersören kunta"	11084	0.2	89.3	2.6	5.2	19.8
"Pelkosenniemi"	958	0.7	0.2	2.5	18.8	41.0
"Pello"	3510	-1.5	0.5	1.3	17.0	44.2
"Perho"	2860	-1.6	0.4	0.6	12.2	26.5
"Pertunmaa"	1739	-3.2	0.1	2.9	14.8	41.3
"Petäjävesi"	3920	-1.5	0.1	1.2	14.9	27.6
"Pieksämäki"	18220	-1.4	0.1	1.9	13.4	37.1
"Pielavesi"	4624	-1.6	0.1	1.1	12.0	40.7
"Pietarsaari"	19379	0.0	56.2	7.1	10.7	28.8
"Pihtipudas"	4127	-1.8	0.0	0.7	15.9	35.0
"Pirkkala"	19237	0.4	0.4	1.9	10.6	19.7
"Polvijärvi"	4414	-2.2	0.1	0.6	19.7	37.4
"Pomarkku"	2166	-3.0	0.1	0.7	16.1	35.5
"Pori"	84587	-0.6	0.5	2.3	18.4	29.3
"Pornainen"	5121	0.3	2.3	1.6	7.9	17.1
"Porvoo"	50159	0.0	29.4	4.7	10.1	23.4
"Posio"	3310	-3.3	0.2	1.1	24.3	44.0
"Pudasjärvi"	8103	-1.0	0.1	1.9	18.9	36.8
"Pukkila"	1940	-2.4	0.9	2.7	10.7	26.0
"Punkalaidun"	2949	-1.8	0.1	2.6	11.6	37.6
"Puolanka"	2669	-2.4	0.1	1.9	19.6	44.6
"Puumala"	2208	-1.2	0.2	1.4	13.9	45.4
"Pyhtää"	5264	-1.4	7.6	2.2	15.4	29.5
"Pyhäjoki"	3189	0.0	0.4	1.2	12.5	32.5
"Pyhäjärvi"	5337	-2.0	0.2	0.9	15.3	39.1
"Pyhäntä"	1579	0.0	0.0	0.7	11.7	27.5
"Pyhäranta"	2077	0.1	0.3	0.8	9.2	30.9
"Pälkäne"	6567	-0.9	0.4	2.1	13.4	32.3
"Pöytyä"	8422	-1.0	0.6	3.0	10.4	28.5
"Raahe"	25001	0.0	0.1	1.9	15.0	28.6
"Raasepori"	27851	-0.8	64.7	3.6	11.7	29.4
"Raisio"	24234	-0.2	1.4	4.4	12.1	26.0
"Rantasalmi"	3553	-2.6	0.2	1.6	18.5	38.3
"Ranua"	3972	-1.3	0.1	1.1	17.9	33.4
"Rauma"	39620	0.0	0.3	4.3	13.6	28.6
"Rautalampi"	3255	-1.0	0.1	2.5	12.8	39.8
"Rautavaara"	1698	-1.5	0.0	0.5	20.5	46.3
"Rautjärvi"	3436	-1.1	0.1	2.5	20.9	44.5
"Reisjärvi"	2813	-1.4	0.1	0.7	10.5	31.1
"Riihimäki"	29021	-0.5	0.4	3.4	12.8	24.7
"Ristijärvi"	1317	-2.1	0.0	0.5	15.4	43.7
"Rovaniemi"	62420	0.3	0.2	2.5	15.0	22.9
"Ruokolahti"	5218	-0.5	0.1	2.0	15.0	38.8
"Ruovesi"	4459	-2.3	0.3	0.9	12.4	40.1
"Rusko"	6263	2.1	1.6	1.4	8.3	21.6
"Rääkkylä"	2240	-1.2	0.1	2.0	19.4	44.6
"Saarijärvi"	9589	-1.0	0.1	1.3	21.1	34.1
"Salla"	3575	-2.1	0.3	1.5	22.8	43.6
"Salo"	52984	-1.0	1.1	3.9	17.8	29.6
"Saltvik"	1873	1.8	91.9	6.3	3.9	24.0
"Sastamala"	24820	-1.0	0.1	2.2	12.3	32.4
"Sauvo"	3007	-1.3	2.4	1.9	9.2	28.5
"Savitaipale"	3480	-1.5	0.1	0.7	13.6	40.9
"Savonlinna"	34664	-1.6	0.1	2.3	17.7	34.1
"Savukoski"	1012	-3.1	0.2	0.5	22.3	37.1
"Seinäjoki"	62676	1.0	0.2	1.7	11.8	22.7
"Sievi"	5035	-0.7	0.2	1.3	12.2	23.0
"Siikainen"	1476	-1.2	0.2	0.9	18.6	40.3
"Siikajoki"	5343	-0.4	0.0	1.1	12.2	26.8
"Siikalatva"	5447	-2.4	0.1	0.6	12.6	34.7
"Siilinjärvi"	21657	-0.5	0.0	0.8	9.9	23.3
"Simo"	3110	-1.9	0.2	0.9	16.6	36.8
"Sipoo"	20310	1.9	32.6	3.5	7.3	19.4
"Siuntio"	6146	-0.5	28.5	4.3	7.1	20.1
"Sodankylä"	8545	-1.2	0.1	1.3	13.2	31.6
"Soini"	2114	-3.3	0.2	0.4	17.1	34.6
"Somero"	8919	-1.2	0.5	2.5	12.7	35.2
"Sonkajärvi"	4075	-3.0	0.0	0.9	17.1	38.0
"Sotkamo"	10423	-0.5	0.1	1.7	12.2	30.5
"Sottunga"	92	-4.2	93.5	5.4	0.0	37.5
"Sulkava"	2588	-2.7	0.1	2.0	16.6	43.1
"Sund"	1031	2.5	88.8	8.5	4.0	25.2
"Suomussalmi"	8051	-1.7	0.0	1.6	20.8	40.6
"Suonenjoki"	7266	-0.6	0.0	1.9	12.2	36.5
"Sysmä"	3859	-2.4	0.2	1.5	12.8	44.4
"Säkylä"	6903	-1.2	0.2	1.7	9.8	33.5
"Taipalsaari"	4774	-1.2	0.1	2.2	12.5	26.6
"Taivalkoski"	4058	-1.8	0.0	0.7	17.7	34.4
"Taivassalo"	1654	2.0	0.7	3.9	11.6	37.4
"Tammela"	6155	-1.4	0.2	1.2	11.3	28.9
"Tampere"	231853	1.6	0.5	4.6	17.7	22.2
"Tervo"	1585	-1.6	0.1	1.1	13.9	42.2
"Tervola"	3068	-1.0	0.3	1.7	18.1	34.8
"Teuva"	5269	-1.8	0.7	1.2	12.4	36.3
"Tohmajärvi"	4571	-1.8	0.2	2.5	19.7	35.9
"Toholampi"	3192	-1.2	0.1	1.2	10.6	30.0
"Toivakka"	2384	-2.0	0.0	0.8	14.1	30.5
"Tornio"	21928	-0.9	0.4	2.6	15.7	26.0
"Turku"	189669	1.1	5.4	6.5	16.3	24.1
"Tuusniemi"	2597	-1.7	0.1	1.3	16.7	43.3
"Tuusula"	38646	0.2	1.5	3.4	8.4	19.8
"Tyrnävä"	6730	-0.3	0.3	0.4	12.4	15.5
"Ulvila"	13237	-0.6	0.3	1.0	14.9	28.4
"Urjala"	4829	-0.6	0.3	2.3	16.9	36.0
"Utajärvi"	2768	-2.0	0.0	1.8	16.4	35.7
"Utsjoki"	1242	0.1	0.2	3.8	10.7	32.2
"Uurainen"	3747	0.8	0.1	1.0	14.7	21.7
"Uusikaarlepyy"	7521	0.1	86.7	6.1	5.7	26.6
"Uusikaupunki"	15752	2.3	0.4	2.7	10.2	32.9
"Vaala"	2941	-3.3	0.1	1.0	18.1	41.6
"Vaasa"	67392	-0.3	22.8	6.0	12.1	22.3
"Valkeakoski"	21136	-1.0	0.2	2.6	15.1	29.2
"Valtimo"	2218	-1.2	0.1	0.6	16.8	40.9
"Vantaa"	223027	1.7	2.5	11.2	11.7	18.0
"Varkaus"	21155	-1.5	0.2	2.5	18.1	34.4
"Vehmaa"	2316	1.7	0.6	1.8	11.0	32.9
"Vesanto"	2094	-2.5	0.2	1.3	13.9	45.2
"Vesilahti"	4460	0.0	0.3	1.4	12.4	20.8
"Veteli"	3216	-1.3	1.6	1.3	8.6	32.0
"Vieremä"	3685	-1.0	0.1	2.5	11.5	31.3
"Vihti"	29054	0.3	1.7	4.0	9.9	20.7
"Viitasaari"	6411	-3.0	0.1	0.9	19.0	38.4
"Vimpeli"	2974	-1.7	0.1	0.5	12.0	33.1
"Virolahti"	3207	-1.8	0.4	4.4	15.4	35.5
"Virrat"	6844	-1.1	0.1	1.9	15.3	39.5
"Vårdö"	430	-2.1	88.1	9.5	3.0	31.0
"Vöyri"	6616	-1.0	81.1	5.7	7.9	27.5
"Ylitornio"	4118	-2.0	0.5	1.6	16.1	41.1
"Ylivieska"	15251	0.3	0.3	1.2	13.3	23.1
"Ylöjärvi"	32878	0.2	0.3	1.2	11.7	20.3
"Ypäjä"	2372	-0.4	0.7	1.9	13.2	31.4
"Ähtäri"	5906	-1.3	0.1	0.9	13.0	35.1
"Äänekoski"	19144	-1.2	0.1	1.2	19.7	30.5
"Uusimaa"	1655624	1.1	8.0	8.2	11.0	19.8
"Southwest Finland"	477677	0.4	5.7	4.3	13.5	26.4
"Satakunta"	220398	-0.6	0.4	2.6	15.1	30.3
"Kanta-Häme"	172720	-0.6	0.4	3.0	12.7	27.9
"Pirkanmaa"	512081	0.5	0.4	3.0	15.4	24.6
"Päijät-Häme"	201228	-0.2	0.3	3.3	16.2	29.3
"Kymenlaakso"	175511	-1.2	0.8	3.8	17.9	31.7
"South Karelia"	129865	-0.5	0.2	3.8	16.7	30.8
"South Savo"	147194	-1.2	0.2	2.2	15.2	34.3
"North Savo"	246653	-0.5	0.1	2.0	13.9	29.3
"North Karelia"	162986	-0.7	0.1	2.3	18.1	30.0
"Central Finland"	276031	-0.1	0.2	2.2	16.7	26.4
"South Ostrobothnia"	190910	-0.5	0.3	1.7	11.6	28.7
"Ostrobothnia"	180945	-0.3	49.6	5.2	9.6	25.2
"Central Ostrobothnia"	68780	-0.4	9.0	2.1	11.4	26.0
"North Ostrobothnia"	411856	0.2	0.2	2.0	15.2	23.1
"Kainuu"	73959	-1.1	0.1	1.9	15.7	32.8
"Lapland"	179223	-0.5	0.2	2.2	15.9	29.2
"Åland"	29489	0.9	87.2	10.8	3.6	22.9
"Helsinki sub-regional unit"	1536926	1.2	5.5	8.5	11.0	19.2
"Raasepori sub-regional unit"	41849	-1.1	58.7	3.6	11.6	30.0
"Porvoo sub-regional unit"	59058	-0.2	25.6	4.3	10.1	23.6
"Loviisa sub-regional unit"	17791	-0.9	39.3	3.5	12.3	31.9
"Åboland-Turunmaa sub-regional unit"	22078	-0.9	59.4	3.0	9.2	32.1
"Salo sub-regional unit"	61903	-1.1	1.0	3.7	17.1	30.4
"Turku sub-regional unit"	328072	0.8	4.0	4.7	13.7	24.2
"Vakka-Suomi sub-regional unit"	31332	1.7	0.5	3.2	10.0	32.1
"Loimaa sub-regional unit"	34292	-0.8	0.4	2.8	10.8	30.8
"Rauma sub-regional unit"	67954	-0.1	0.3	3.7	12.2	29.4
"Pori sub-regional unit"	133406	-0.8	0.4	2.1	16.8	30.4
"Pohjois-Satakunta sub-regional unit"	19038	-1.1	0.1	2.8	13.9	32.8
"Hämeenlinna sub-regional unit"	93879	-0.4	0.3	3.2	12.8	27.9
"Riihimäki sub-regional unit"	45553	-0.8	0.4	2.9	11.3	25.0
"Forssa sub-regional unit"	33288	-1.0	0.3	2.7	14.2	31.6
"Luoteis-Pirkanmaa sub-regional unit"	15648	-1.0	0.1	1.5	15.2	35.0
"Etelä-Pirkanmaa sub-regional unit"	42734	-0.9	0.2	2.2	15.1	28.7
"Tampere sub-regional unit"	402467	1.0	0.4	3.3	15.6	22.4
"Lounais-Pirkanmaa sub-regional unit"	27769	-1.1	0.1	2.2	12.2	33.0
"Ylä-Pirkanmaa sub-regional unit"	23463	-1.8	0.2	1.8	14.4	38.5
"Lahti sub-regional unit"	201228	-0.2	0.3	3.3	16.2	29.3
"Kouvola sub-regional unit"	91016	-1.3	0.4	2.6	16.3	31.8
"Kotka-Hamina sub-regional unit"	84495	-1.1	1.2	5.1	19.6	31.6
"Lappeenranta sub-regional unit"	88973	-0.2	0.2	4.0	15.9	28.0
"Imatra sub-regional unit"	40892	-1.1	0.1	3.2	18.5	36.8
"Mikkeli sub-regional unit"	72047	-0.7	0.2	2.2	14.4	32.2
"Savonlinna sub-regional unit"	45676	-1.8	0.1	2.2	17.6	35.9
"Pieksämäki sub-regional unit"	29471	-1.6	0.2	2.0	13.2	36.8
"Ylä-Savo sub-regional unit"	54307	-1.4	0.1	1.6	14.6	33.1
"Kuopio sub-regional unit"	139866	0.3	0.1	2.3	13.1	24.8
"Koillis-Savo sub-regional unit"	7343	-2.4	0.1	1.2	17.7	43.3
"Varkaus sub-regional unit"	30937	-1.3	0.2	2.0	16.7	34.5
"Sisä-Savo sub-regional unit"	14200	-1.1	0.1	1.9	12.8	39.2
"Joensuu sub-regional unit"	124409	-0.3	0.1	2.4	17.7	26.9
"Keski-Karjala sub-regional unit"	17297	-1.9	0.1	2.6	19.4	38.4
"Pielisen Karjala sub-regional unit"	21280	-2.0	0.1	1.6	19.9	40.7
"Jyväskylä sub-regional unit"	184333	0.7	0.2	2.7	16.0	21.9
"Joutsa sub-regional unit"	5301	-2.4	0.2	1.5	17.3	41.4
"Keuruu sub-regional unit"	11555	-0.9	0.1	1.5	15.3	37.4
"Jämsä sub-regional unit"	23129	-1.8	0.2	1.3	18.2	35.3
"Äänekoski sub-regional unit"	21892	-1.1	0.1	1.1	19.5	31.3
"Saarijärvi-Viitasaari sub-regional unit"	29821	-1.9	0.1	1.1	19.3	36.4
"Suupohja sub-regional unit"	22240	-1.4	0.5	1.8	12.4	33.0
"Seinäjoki sub-regional unit"	126856	0.0	0.3	1.7	11.3	26.4
"Kuusiokunnat sub-regional unit"	21256	-1.5	0.1	1.1	11.5	33.2
"Järviseutu sub-regional unit"	20558	-1.3	0.4	1.9	12.9	33.3
"Kyrönmaa sub-regional unit"	12724	-1.0	1.0	0.8	10.5	27.0
"Vaasa sub-regional unit"	101023	-0.3	40.2	5.2	10.8	23.4
"Sydösterbotten sub-regional unit"	17419	-0.2	66.9	9.0	7.1	34.8
"Jakobstadsregionen sub-regional unit"	49779	0.0	74.8	4.9	7.4	24.9
"Kaustinen sub-regional unit"	15537	-1.2	1.1	1.4	9.6	29.1
"Kokkola sub-regional unit"	53243	-0.1	11.4	2.3	11.9	25.1
"Oulu sub-regional unit"	248275	0.7	0.2	2.5	15.9	19.0
"Oulunkaari sub-regional unit"	23778	0.4	0.1	1.2	18.3	32.5
"Raahe sub-regional unit"	33533	-0.1	0.1	1.7	14.3	28.7
"Haapavesi-Siikalatva sub-regional unit"	13996	-1.9	0.0	0.9	13.3	30.1
"Nivala-Haapajärvi sub-regional unit"	28827	-1.2	0.1	0.8	12.9	30.1
"Ylivieska sub-regional unit"	44003	-0.3	0.3	1.3	12.3	26.1
"Koillismaa sub-regional unit"	19444	-1.1	0.2	1.2	14.6	32.5
"Kehys-Kainuu sub-regional unit"	21545	-2.0	0.1	1.3	20.0	41.5
"Kajaani sub-regional unit"	52414	-0.8	0.1	2.1	14.1	29.1
"Rovaniemi sub-regional unit"	66392	0.2	0.2	2.4	15.2	23.5
"Kemi-Tornio sub-regional unit"	57658	-1.1	0.2	2.5	17.0	29.6
"Torniolaakso sub-regional unit"	7628	-1.8	0.5	1.4	16.5	42.5
"Itä-Lappi sub-regional unit"	16389	-2.1	0.1	1.1	21.6	43.0
"Tunturi-Lappi sub-regional unit"	14500	0.5	0.6	2.6	12.6	28.1
"Pohjois-Lappi sub-regional unit"	16656	-0.4	0.2	1.8	13.1	31.2
"Mariehamns stad sub-regional unit"	11677	1.0	84.2	13.0	4.5	24.2
"Ålands landsbygd sub-regional unit"	15756	1.5	89.9	9.2	3.1	20.6
"Ålands skärgård sub-regional unit"	2056	-3.1	83.5	10.7	3.4	32.6
"Uusimaa (HE 15/2017 vp)"	1655624	1.1	8.0	8.2	11.0	19.8
"Southwest Finland (HE 15/2017 vp)"	477677	0.4	5.7	4.3	13.5	26.4
"Satakunta (HE 15/2017 vp)"	220398	-0.6	0.4	2.6	15.1	30.3
"Kanta-Häme (HE 15/2017 vp)"	172720	-0.6	0.4	3.0	12.7	27.9
"Pirkanmaa (HE 15/2017 vp)"	514333	0.5	0.4	3.0	15.4	24.8
