Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC)
2017,3,28,00:00,UTC,-1,-1,2.4
2017,3,29,00:00,UTC,-1,-1,0.4
2017,3,30,00:00,UTC,3.3,-1,-0.4
2017,3,31,00:00,UTC,0.6,2,0.2
2017,4,1,00:00,UTC,3.6,-1,1.5
2017,4,2,00:00,UTC,0.1,-1,4.3
2017,4,3,00:00,UTC,0.2,-1,3
2017,4,4,00:00,UTC,-1,-1,3.8
2017,4,5,00:00,UTC,0.7,-1,3.3
2017,4,6,00:00,UTC,-1,-1,4.7
2017,4,7,00:00,UTC,4.4,-1,4.1
2017,4,8,00:00,UTC,-1,-1,3.3
2017,4,9,00:00,UTC,-1,-1,3.7
2017,4,10,00:00,UTC,2,-1,6
2017,4,11,00:00,UTC,0.7,-1,4.3
2017,4,12,00:00,UTC,1.1,-1,1.8
2017,4,13,00:00,UTC,0.3,0,1.2
2017,4,14,00:00,UTC,-1,-1,-0.5
2017,4,15,00:00,UTC,-1,-1,-1.4
2017,4,16,00:00,UTC,-1,-1,-1.7
2017,4,17,00:00,UTC,-1,-1,0.6
2017,4,18,00:00,UTC,-1,-1,0.3
2017,4,19,00:00,UTC,-1,-1,1.2
2017,4,20,00:00,UTC,5.1,-1,2.5
2017,4,21,00:00,UTC,-1,-1,5.7
2017,4,22,00:00,UTC,2.1,-1,3.1
2017,4,23,00:00,UTC,1.6,-1,2.9
2017,4,24,00:00,UTC,2.5,-1,3.6
2017,4,25,00:00,UTC,4.9,0,2.8
2017,4,26,00:00,UTC,0.3,-1,3.2
2017,4,27,00:00,UTC,-1,-1,4.4
2017,4,28,00:00,UTC,-1,-1,4.1
2017,4,29,00:00,UTC,9.9,-1,2.3
2017,4,30,00:00,UTC,0.4,2,2.2
2017,5,1,00:00,UTC,-1,-1,7.6
2017,5,2,00:00,UTC,-1,-1,9.4
2017,5,3,00:00,UTC,-1,-1,9.2
2017,5,4,00:00,UTC,-1,-1,6.7
2017,5,5,00:00,UTC,-1,-1,10.1
2017,5,6,00:00,UTC,-1,-1,11.1
2017,5,7,00:00,UTC,-1,-1,6.1
2017,5,8,00:00,UTC,-1,-1,4.4
2017,5,9,00:00,UTC,0.2,-1,1.5
2017,5,10,00:00,UTC,3.2,-1,1.5
2017,5,11,00:00,UTC,0.4,-1,2.9
2017,5,12,00:00,UTC,-1,-1,5.1
2017,5,13,00:00,UTC,-1,-1,7.5
2017,5,14,00:00,UTC,-1,-1,9.8
2017,5,15,00:00,UTC,0.9,-1,9
2017,5,16,00:00,UTC,-1,-1,7.3
2017,5,17,00:00,UTC,0.7,-1,9.4
2017,5,18,00:00,UTC,-1,-1,11.2
2017,5,19,00:00,UTC,-1,-1,16.1
2017,5,20,00:00,UTC,-1,-1,16.9
2017,5,21,00:00,UTC,-1,-1,14.7
2017,5,22,00:00,UTC,-1,-1,14.6
2017,5,23,00:00,UTC,-1,-1,13.3
2017,5,24,00:00,UTC,-1,-1,12.4
2017,5,25,00:00,UTC,-1,-1,14.1
2017,5,26,00:00,UTC,3.6,-1,14.1
2017,5,27,00:00,UTC,-1,-1,9.6
2017,5,28,00:00,UTC,1,-1,13.2
2017,5,29,00:00,UTC,-1,-1,14.1
2017,5,30,00:00,UTC,5.4,-1,9.6
2017,5,31,00:00,UTC,0.7,-1,10.8
2017,6,1,00:00,UTC,1,-1,6.5
2017,6,2,00:00,UTC,-1,-1,6.2
2017,6,3,00:00,UTC,-1,-1,10
2017,6,4,00:00,UTC,-1,-1,9.9
2017,6,5,00:00,UTC,4.1,-1,10.4
2017,6,6,00:00,UTC,-1,-1,14.5
2017,6,7,00:00,UTC,1.3,-1,16.4
2017,6,8,00:00,UTC,26.5,-1,12.3
2017,6,9,00:00,UTC,-1,-1,14
2017,6,10,00:00,UTC,-1,-1,16.3
2017,6,11,00:00,UTC,5.3,-1,16.8
2017,6,12,00:00,UTC,18.6,-1,12.6
2017,6,13,00:00,UTC,0.6,,12.6
2017,6,14,00:00,UTC,-1,-1,14.8
2017,6,15,00:00,UTC,-1,-1,15.1
2017,6,16,00:00,UTC,-1,-1,18.4
2017,6,17,00:00,UTC,-1,-1,19.3
2017,6,18,00:00,UTC,-1,-1,16.9
2017,6,19,00:00,UTC,4.7,-1,17.8
2017,6,20,00:00,UTC,2.7,-1,12.7
2017,6,21,00:00,UTC,5.2,-1,12.4
2017,6,22,00:00,UTC,1.4,-1,12.2
2017,6,23,00:00,UTC,-1,-1,10.8
2017,6,24,00:00,UTC,4.5,-1,12.9
2017,6,25,00:00,UTC,-1,-1,14
2017,6,26,00:00,UTC,-1,-1,13.5
2017,6,27,00:00,UTC,0.4,-1,13.7
2017,6,28,00:00,UTC,-1,-1,15.3
2017,6,29,00:00,UTC,-1,-1,16.3
2017,6,30,00:00,UTC,-1,-1,17.2
2017,7,1,00:00,UTC,0.1,-1,14.1
2017,7,2,00:00,UTC,-1,-1,16.4
2017,7,3,00:00,UTC,2.2,-1,14.5
2017,7,4,00:00,UTC,0.9,-1,14.1
2017,7,5,00:00,UTC,-1,-1,14
2017,7,6,00:00,UTC,-1,-1,11.5
2017,7,7,00:00,UTC,-1,-1,14.7
2017,7,8,00:00,UTC,0.3,-1,16.1
2017,7,9,00:00,UTC,-1,-1,17.4
2017,7,10,00:00,UTC,-1,-1,18
2017,7,11,00:00,UTC,7.8,-1,16.8
2017,7,12,00:00,UTC,-1,-1,16.8
2017,7,13,00:00,UTC,4.2,-1,14.7
2017,7,14,00:00,UTC,-1,-1,15.3
2017,7,15,00:00,UTC,-1,-1,16.7
2017,7,16,00:00,UTC,-1,-1,18
2017,7,17,00:00,UTC,2.7,-1,15.4
2017,7,18,00:00,UTC,4.6,-1,15
2017,7,19,00:00,UTC,0.3,-1,13.7
2017,7,20,00:00,UTC,1.4,-1,14.6
2017,7,21,00:00,UTC,-1,-1,15.8
2017,7,22,00:00,UTC,3.3,-1,15.6
2017,7,23,00:00,UTC,-1,-1,16.9
2017,7,24,00:00,UTC,-1,-1,15.7
2017,7,25,00:00,UTC,-1,-1,16.1
2017,7,26,00:00,UTC,-1,-1,17.2
2017,7,27,00:00,UTC,2.4,-1,19
2017,7,28,00:00,UTC,-1,-1,19.1
2017,7,29,00:00,UTC,-1,-1,17.8
2017,7,30,00:00,UTC,0.9,-1,18.3
2017,7,31,00:00,UTC,0.1,-1,17.8
2017,8,1,00:00,UTC,12.3,-1,18.9
2017,8,2,00:00,UTC,2.9,-1,17.5
2017,8,3,00:00,UTC,10.3,-1,18.2
2017,8,4,00:00,UTC,19.6,-1,16.6
2017,8,5,00:00,UTC,-1,-1,17.1
2017,8,6,00:00,UTC,11,-1,16
2017,8,7,00:00,UTC,11,-1,15.2
2017,8,8,00:00,UTC,-1,-1,17.2
2017,8,9,00:00,UTC,0.1,-1,18.3
2017,8,10,00:00,UTC,-1,-1,18.7
2017,8,11,00:00,UTC,-1,-1,18.1
2017,8,12,00:00,UTC,9.4,-1,19.6
2017,8,13,00:00,UTC,0.2,-1,17.4
2017,8,14,00:00,UTC,-1,-1,16.1
2017,8,15,00:00,UTC,-1,-1,16.4
2017,8,16,00:00,UTC,-1,-1,17.6
2017,8,17,00:00,UTC,0.3,-1,19
2017,8,18,00:00,UTC,-1,-1,18
2017,8,19,00:00,UTC,1.7,-1,18.2
2017,8,20,00:00,UTC,-1,-1,17.4
2017,8,21,00:00,UTC,-1,-1,16.2
2017,8,22,00:00,UTC,-1,-1,14.9
2017,8,23,00:00,UTC,-1,-1,13.5
2017,8,24,00:00,UTC,-1,-1,12.9
2017,8,25,00:00,UTC,2.7,-1,11.2
2017,8,26,00:00,UTC,0.7,-1,10.4
2017,8,27,00:00,UTC,-1,-1,10.7
2017,8,28,00:00,UTC,-1,-1,12
2017,8,29,00:00,UTC,-1,-1,14.4
2017,8,30,00:00,UTC,1.9,-1,16.8
2017,8,31,00:00,UTC,2,-1,17.2
2017,9,1,00:00,UTC,-1,-1,15.1
2017,9,2,00:00,UTC,-1,-1,12.9
2017,9,3,00:00,UTC,0.1,-1,12.9
2017,9,4,00:00,UTC,-1,-1,11.9
2017,9,5,00:00,UTC,-1,-1,11.4
2017,9,6,00:00,UTC,-1,-1,10.4
2017,9,7,00:00,UTC,0.7,-1,10.3
2017,9,8,00:00,UTC,6.1,-1,10.6
2017,9,9,00:00,UTC,15.9,-1,13.1
2017,9,10,00:00,UTC,3.9,-1,14.6
2017,9,11,00:00,UTC,16.4,-1,14.6
2017,9,12,00:00,UTC,0.1,-1,14.9
2017,9,13,00:00,UTC,1.1,-1,14.4
2017,9,14,00:00,UTC,15.4,-1,12.9
2017,9,15,00:00,UTC,0.2,-1,12.2
2017,9,16,00:00,UTC,2.1,-1,12.1
2017,9,17,00:00,UTC,-1,-1,9.9
2017,9,18,00:00,UTC,-1,-1,8.7
2017,9,19,00:00,UTC,0.5,-1,9
2017,9,20,00:00,UTC,0.6,-1,9.2
2017,9,21,00:00,UTC,1.2,-1,12.4
2017,9,22,00:00,UTC,0.8,-1,11.5
2017,9,23,00:00,UTC,-1,-1,12.8
2017,9,24,00:00,UTC,-1,-1,12.5
2017,9,25,00:00,UTC,-1,-1,12.6
2017,9,26,00:00,UTC,-1,-1,12
2017,9,27,00:00,UTC,-1,-1,12.1
2017,9,28,00:00,UTC,-1,-1,10.1
2017,9,29,00:00,UTC,-1,-1,8.9
2017,9,30,00:00,UTC,0.1,-1,8.8
2017,10,1,00:00,UTC,-1,-1,9.1
2017,10,2,00:00,UTC,6.4,-1,9.2
2017,10,3,00:00,UTC,21.5,-1,8.3
2017,10,4,00:00,UTC,12.7,-1,11.2
2017,10,5,00:00,UTC,0.6,-1,8.8
2017,10,6,00:00,UTC,0.7,-1,7.7
2017,10,7,00:00,UTC,11.7,-1,8.1
2017,10,8,00:00,UTC,14.1,-1,9.3
2017,10,9,00:00,UTC,18.3,-1,8.6
2017,10,10,00:00,UTC,24.2,-1,8.1
2017,10,11,00:00,UTC,1.5,-1,6.9
2017,10,12,00:00,UTC,18.1,-1,6
2017,10,13,00:00,UTC,-1,-1,7.5
2017,10,14,00:00,UTC,5,-1,7.2
2017,10,15,00:00,UTC,3.3,-1,8.3
2017,10,16,00:00,UTC,-1,-1,10.7
2017,10,17,00:00,UTC,1.6,-1,8.5
2017,10,18,00:00,UTC,-1,-1,8.3
2017,10,19,00:00,UTC,0.9,-1,4.6
2017,10,20,00:00,UTC,-1,-1,2
2017,10,21,00:00,UTC,-1,0,0.2
2017,10,22,00:00,UTC,-1,-1,0.1
2017,10,23,00:00,UTC,-1,-1,1.3
2017,10,24,00:00,UTC,-1,0,0.8
2017,10,25,00:00,UTC,8.5,-1,2.1
2017,10,26,00:00,UTC,12.3,2,0.3
2017,10,27,00:00,UTC,2.7,7,-0.3
2017,10,28,00:00,UTC,17.1,4,3.3
2017,10,29,00:00,UTC,3.3,-1,2.1
2017,10,30,00:00,UTC,-1,-1,1.2
2017,10,31,00:00,UTC,-1,-1,-0.4
2017,11,1,00:00,UTC,-1,0,0.1
2017,11,2,00:00,UTC,0.1,0,0.5
2017,11,3,00:00,UTC,0.3,-1,3.2
2017,11,4,00:00,UTC,1,-1,8
2017,11,5,00:00,UTC,0.2,,8.4
2017,11,6,00:00,UTC,2,,7.5
2017,11,7,00:00,UTC,-1,-1,3.9
2017,11,8,00:00,UTC,0.2,-1,5.9
2017,11,9,00:00,UTC,9.3,-1,6.7
2017,11,10,00:00,UTC,3.6,,7.2
2017,11,11,00:00,UTC,16.7,-1,5.9
2017,11,12,00:00,UTC,2.2,-1,3.1
2017,11,13,00:00,UTC,-1,-1,2.4
2017,11,14,00:00,UTC,2.1,-1,1.8
2017,11,15,00:00,UTC,1.1,-1,3.1
2017,11,16,00:00,UTC,1.8,-1,3.5
2017,11,17,00:00,UTC,2,-1,5.8
2017,11,18,00:00,UTC,11.3,,5.9
2017,11,19,00:00,UTC,10.4,-1,4
2017,11,20,00:00,UTC,4.5,-1,1.2
2017,11,21,00:00,UTC,2.5,3,0.9
2017,11,22,00:00,UTC,1.5,-1,1
2017,11,23,00:00,UTC,6.2,-1,1.5
2017,11,24,00:00,UTC,9,-1,6.1
2017,11,25,00:00,UTC,8.5,,4.2
2017,11,26,00:00,UTC,5.5,-1,2.3
2017,11,27,00:00,UTC,4.7,-1,4.6
2017,11,28,00:00,UTC,8.3,-1,3.9
2017,11,29,00:00,UTC,2.1,-1,2.8
2017,11,30,00:00,UTC,3.1,-1,3.1
2017,12,1,00:00,UTC,3.4,-1,0.9
2017,12,2,00:00,UTC,5.3,5,1.4
2017,12,3,00:00,UTC,7.2,-1,5
2017,12,4,00:00,UTC,-1,-1,1.3
2017,12,5,00:00,UTC,0.7,-1,0
2017,12,6,00:00,UTC,-1,-1,-1.2
2017,12,7,00:00,UTC,16.3,0,-0.8
2017,12,8,00:00,UTC,2,-1,5.2
2017,12,9,00:00,UTC,0.2,-1,4.2
2017,12,10,00:00,UTC,-1,-1,2
2017,12,11,00:00,UTC,1.3,-1,1.4
2017,12,12,00:00,UTC,35,-1,1.6
2017,12,13,00:00,UTC,4.2,5,1.6
2017,12,14,00:00,UTC,5.2,4,1.6
2017,12,15,00:00,UTC,10,10,1.7
2017,12,16,00:00,UTC,1.3,6,2.4
2017,12,17,00:00,UTC,-1,5,0.1
2017,12,18,00:00,UTC,3.5,5,2
2017,12,19,00:00,UTC,0.2,3,1
2017,12,20,00:00,UTC,3.6,3,2.6
2017,12,21,00:00,UTC,-1,-1,2.5
2017,12,22,00:00,UTC,-1,-1,-0.1
2017,12,23,00:00,UTC,7.6,-1,1.2
2017,12,24,00:00,UTC,-1,-1,-0.3
2017,12,25,00:00,UTC,5.9,-1,0.3
2017,12,26,00:00,UTC,7.8,-1,1.9
2017,12,27,00:00,UTC,1.1,-1,3.8
2017,12,28,00:00,UTC,3.7,-1,2.8
2017,12,29,00:00,UTC,7.8,-1,3.8
2017,12,30,00:00,UTC,4.1,-1,2.5
2017,12,31,00:00,UTC,3.2,-1,1.6
